Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.4_mGal,Bouguer_Completa_2.4_mGal,Bouguer_Completa_2.2_mGal,Bouguer_Completa_2.5_mGal,Bouguer_Completa_2.7_mGal
-16.738,28.2693,1711.7,979059.534,978663.6654247039,395.8685752961319,223.6167808961319,332.25510310691993,337.00376955177717,329.8807698844913,325.132103439634
-16.7263,28.2669,1870.3,979023.973,978614.5690041813,409.4039958186913,221.19196621869133,343.28401227777124,348.2197831751988,340.8161268290575,335.88035593163
-16.721,28.2667,1928.2,979013.747,978596.6972537446,417.04974625539035,223.01112385539034,350.222171274554,355.2091886434597,347.72866259010107,342.74164522119537
-16.7095,28.2659,2072.7,978984.42,978552.074499432,432.3455005680444,223.7655541680444,365.0333090797829,370.0400767405144,362.52992524941715,357.52315758868576
-16.7108,28.2637,2070.0,978983.94,978552.7413978677,431.1986021322664,222.89036213226638,364.46717893760444,369.4254958074299,361.98802050269177,357.0297036328663
-16.7214,28.2645,1923.7,979014.631,978597.9193311713,416.7116688287351,223.12589042873512,350.26438404901694,355.2205241910983,347.78631397797625,342.8301738358949
-16.717,28.2548,1933.8,979015.21,978594.0738580792,421.1361419208115,226.5339803208115,356.6803986897786,361.47007697853303,354.2855595454014,349.49588125664684
-16.741,28.2762,1675.7,979064.772,978675.2889644506,389.48303554940503,220.85399314940503,326.86753850021694,331.5353026830711,324.5336564087898,319.86589222593557
-16.7509,28.2775,1623.9,979073.629,978691.364199716,382.26480028394144,218.84849548394143,329.9620056565417,333.7707711056271,328.05762293199894,324.2488574829136
-16.74,28.2593,1656.4,979073.548,978679.9686993178,393.57930068217684,226.89245588217682,331.9100788933049,336.5064480560156,329.61189431194964,325.015525149239
-16.7303,28.2768,1787.9,979043.098,978640.7283490201,402.3696509798756,222.44969817987558,335.72377564128567,340.7134207410031,333.228953091427,328.23930799170967
-16.762,28.2851,1463.0,979112.706,978741.5676610756,371.1383389243856,223.9137229243856,344.732407254162,346.3967499376438,343.9002359124211,342.23589322893935
-16.7538,28.2581,1464.0,979114.542,978739.2250258677,375.3169741323218,227.9917261323218,327.9159253952821,331.3469971556736,326.2003895150864,322.7693177546949
-16.7622,28.2574,1366.9,979132.928,978769.1253081617,363.8026918382384,226.2488110382384,340.5481119878181,341.97491674511383,339.83470960917026,338.40790485187455
-16.7621,28.267,1417.2,979124.363,978754.331901817,370.03109818301164,227.41542778301164,345.12277493183274,346.67903587183446,344.3446444618318,342.7883835218301
-16.761,28.2756,1485.6,979105.58,978733.8804324834,371.6995675165672,222.2006683165672,342.8799388967136,344.74796306294843,341.9459268135962,340.0779026473614
-16.7398,28.2506,1603.0,979085.788,978695.7844400167,390.003559983219,228.69046398321902,331.7940246805192,336.11054861853466,329.63576271151146,325.31923877349595
-16.7322,28.2506,1698.3,979066.422,978666.389941036,400.0320589640178,229.1287333640178,339.2941710985105,343.80853037642686,337.03699145955227,332.52263218163586
-16.7191,28.2397,1769.1,979057.05,978643.732400219,413.3175997810904,235.2895285810904,354.007302070499,358.3910375381484,351.8154343366743,347.43169886902473
-16.7088,28.2498,2016.5,979001.071,978568.1930733519,432.8779266481288,229.95349864812877,370.19838761352355,374.82689459763685,367.88413412146684,363.25562713735354
-16.7691,28.2679,1354.8,979136.457,978773.6488547139,362.8081452861661,226.47191168616612,352.4132148348627,352.764178700154,352.23773290221703,351.8867690369258
-16.7697,28.2577,1283.0,979149.801,978795.0301259494,354.77087405056227,225.66001805056226,346.42028687567233,346.61268818943796,346.32408621878955,346.131684905024
-16.7808,28.2673,1210.1,979164.937,978818.2428911224,346.69410887768026,224.91932567768026,346.4395421087736,345.96356388419434,346.67753122106325,347.15350944564256
-16.7851,28.2858,1258.2,979158.122,978804.7978579955,353.32414200447965,226.70895960447965,354.29509569904417,353.6954179008205,354.59493459815604,355.19461239637974
-16.7773,28.2944,1303.7,979146.466,978791.4095169504,355.05648304964416,223.86254464964415,352.35514084084645,352.05045731245315,352.5074826050431,352.8121661334364
-16.7663,28.2912,1418.4,979121.103,978755.785257294,365.31774270604365,222.58131390604365,349.14216721473656,349.9522106263082,348.7371455089508,347.92710209737913
-16.7622,28.3013,1405.4,979121.432,978760.5568069246,360.8751930753933,219.44698027539332,334.80068367623676,336.4313963041176,333.98532736229635,332.3546147344155
-16.7844,28.2732,1205.7,979166.466,978820.0447963892,346.4212036108365,225.0892012108365,347.41779576112583,346.83445070863223,347.70946828737266,348.29281333986626
-16.7681,28.2747,1388.8,979128.194,978763.6727652869,364.52123471314553,224.76351311314554,352.10356529601,352.61576597311034,351.84746495745986,351.3352642803595
-16.7713,28.2846,1397.8,979125.603,978761.6424510527,363.9605489473324,223.29713934733243,355.4107505687677,355.5898144243179,355.3212186409926,355.14215478544236
-16.755,28.2835,1561.3,979088.063,978711.1253038272,376.9376961727394,219.8209545727394,331.63004605550793,334.8599189883106,330.01510958910654,326.78523665630394
-16.7514,28.2919,1513.1,979100.091,978726.6260700903,373.4649299096782,221.1986507096782,319.54524765188535,323.4992012501513,317.5682708527524,313.6143172544865
